MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
2.1758577151936365e-05,0.0017102690061588529,5465266.0,TS_Lin,0.05,145840,1529532000.0,0.0001,0.05
0.00014154839573159178,0.00171036936986043,5599226.0,TS_Lin,0.05,145840,1529535600.0,0.0001,0.05
4.692602412135213e-05,0.0017111818957713473,5663035.0,TS_Lin,0.05,145840,1529539200.0,0.0001,0.05
0.00023339558994941542,0.0017124109236759679,5705597.0,TS_Lin,0.05,145840,1529542800.0,0.0001,0.05
0.0002011751707035777,0.0017130416796445984,5745418.0,TS_Lin,0.05,145840,1529546400.0,0.0001,0.05
1.3436568568578386e-05,0.0017156570342136094,5820387.0,TS_Lin,0.05,145840,1529550000.0,0.0001,0.05
5.036086824525947e-06,0.0017107781218926124,6022423.0,TS_Lin,0.05,145840,1529553600.0,0.0001,0.05
7.305273353515531e-06,0.001696050307303727,6434382.0,TS_Lin,0.05,145840,1529557200.0,0.0001,0.05
2.0789134023256857e-06,0.0016774443612901449,6923602.0,TS_Lin,0.05,145840,1529560800.0,0.0001,0.05
2.383813370020874e-05,0.0016603597660427554,7426785.0,TS_Lin,0.05,145840,1529564400.0,0.0001,0.05
2.929079025701577e-05,0.0016409305696733966,7936659.0,TS_Lin,0.05,145840,1529568000.0,0.0001,0.05
1.9637136929710004e-05,0.0016419369086650532,8248607.0,TS_Lin,0.05,145840,1529588577.0,0.0001,0.05
3.7763244709955476e-05,0.0016405945474696287,8463979.0,TS_Lin,0.05,145840,1529599267.0,0.0001,0.05
8.711394454987967e-06,0.0016275817921710737,8702696.0,TS_Lin,0.05,145840,1529611413.0,0.0001,0.05
3.0896069629897843e-06,0.0016335430737049134,9033452.0,TS_Lin,0.05,145840,1529740849.0,0.0001,0.05
6.229424729051701e-05,0.0016438772800522197,9289699.0,TS_Lin,0.05,145840,1529744449.0,0.0001,0.05
2.79363579565771e-05,0.0016517387391864436,9576243.0,TS_Lin,0.05,145840,1529748049.0,0.0001,0.05
3.340498377936417e-05,0.0016606540967196112,9873798.0,TS_Lin,0.05,145840,1529751649.0,0.0001,0.05
8.522379725278974e-05,0.0016735060657541146,10188749.0,TS_Lin,0.05,145840,1529755249.0,0.0001,0.05
3.505883566497933e-05,0.0016843420668945308,10473076.0,TS_Lin,0.05,145840,1529758849.0,0.0001,0.05
5.489412736484362e-05,0.0016987876990480402,10745859.0,TS_Lin,0.05,145840,1529762449.0,0.0001,0.05
1.4500484996374736e-05,0.0017097012835976483,11023176.0,TS_Lin,0.05,145840,1529766049.0,0.0001,0.05
4.407402515038709e-05,0.0017195409702021516,11316699.0,TS_Lin,0.05,145840,1529769649.0,0.0001,0.05
2.8997058694298364e-05,0.0017246152980554595,11626423.0,TS_Lin,0.05,145840,1529773249.0,0.0001,0.05
2.5197275971625912e-05,0.0017340250926743256,11903784.0,TS_Lin,0.05,145840,1529776849.0,0.0001,0.05
3.581600132149631e-05,0.0017368042766152591,12154832.0,TS_Lin,0.05,145840,1529780449.0,0.0001,0.05
0.00010860006580706989,0.0017435967288671253,12348487.0,TS_Lin,0.05,145840,1529784049.0,0.0001,0.05
2.680459183142067e-05,0.001752537112236012,12684504.0,TS_Lin,0.05,145840,1529787649.0,0.0001,0.05
2.3090779213613068e-05,0.0017648464971227742,12943615.0,TS_Lin,0.05,145840,1529791249.0,0.0001,0.05
9.081848368271681e-05,0.0017706559201456438,13087146.0,TS_Lin,0.05,145840,1529794849.0,0.0001,0.05
0.0001437306403996436,0.0017725349570297034,13163379.0,TS_Lin,0.05,145840,1529798449.0,0.0001,0.05
0.0004255018703782626,0.0017735854016522395,13207905.0,TS_Lin,0.05,145840,1529802049.0,0.0001,0.05
3.105509924602942e-05,0.0017758246081436685,13240098.0,TS_Lin,0.05,145840,1529805649.0,0.0001,0.05
0.0002415450958601494,0.0017774237446485936,13273081.0,TS_Lin,0.05,145840,1529809249.0,0.0001,0.05
0.0002174666943999083,0.0017793897421696523,13323463.0,TS_Lin,0.05,145840,1529812849.0,0.0001,0.05
9.13701375950248e-05,0.0017838141757581583,13432329.0,TS_Lin,0.05,145840,1529816449.0,0.0001,0.05
6.26583149259606e-05,0.0017941037523105862,13654053.0,TS_Lin,0.05,145840,1529820049.0,0.0001,0.05
2.845795239140955e-05,0.0018060587366296882,14003881.0,TS_Lin,0.05,145840,1529823649.0,0.0001,0.05
2.814302003022217e-05,0.001819793534550589,14392059.0,TS_Lin,0.05,145840,1529827259.0,0.0001,0.05
