Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
65.0,13391.0,1670000,LinUCB_Disjoint,1531948079.0,0.00369,3.33e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
65.0,13513.0,1680000,LinUCB_Disjoint,1531956719.0,0.0035,3.15e+02,0.00314,2.83e+02,12,0.02,0.02,0.1,0.0
65.0,13574.0,1690000,LinUCB_Disjoint,1531975050.0,0.0037,3.33e+02,0.00315,2.83e+02,12,0.02,0.02,0.1,0.0
66.0,13654.0,1700000,LinUCB_Disjoint,1531980461.0,0.00448,4.05e+02,0.00315,2.84e+02,12,0.02,0.02,0.1,0.0
66.0,13747.0,1710000,LinUCB_Disjoint,1531985886.0,0.00369,3.33e+02,0.00316,2.84e+02,12,0.02,0.02,0.1,0.0
66.0,13834.0,1720000,LinUCB_Disjoint,1531991316.0,0.00291,2.61e+02,0.00316,2.84e+02,12,0.02,0.02,0.1,0.0
66.0,13900.0,1730000,LinUCB_Disjoint,1531996011.0,0.00251,2.25e+02,0.00315,2.83e+02,12,0.02,0.02,0.1,0.0
67.0,13992.0,1740000,LinUCB_Disjoint,1532000020.0,0.00141,1.26e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
67.0,14099.0,1750000,LinUCB_Disjoint,1532004954.0,0.0025,2.25e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
67.0,14211.0,1760000,LinUCB_Disjoint,1532010242.0,0.0034,3.06e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
67.0,14300.0,1770000,LinUCB_Disjoint,1532015424.0,0.0036,3.24e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
68.0,14416.0,1780000,LinUCB_Disjoint,1532020620.0,0.0027,2.43e+02,0.00314,2.82e+02,12,0.02,0.02,0.1,0.0
69.0,14475.0,1790000,LinUCB_Disjoint,1532025879.0,0.00409,3.69e+02,0.00315,2.83e+02,12,0.02,0.02,0.1,0.0
71.0,14569.0,1800000,LinUCB_Disjoint,1532030264.0,0.00438,3.96e+02,0.00315,2.83e+02,12,0.02,0.02,0.1,0.0
73.0,14675.0,1810000,LinUCB_Disjoint,1532034492.0,0.00399,3.6e+02,0.00316,2.84e+02,12,0.02,0.02,0.1,0.0
73.0,14765.0,1820000,LinUCB_Disjoint,1532045568.0,0.00389,3.51e+02,0.00316,2.84e+02,12,0.02,0.02,0.1,0.0
74.0,14892.0,1830000,LinUCB_Disjoint,1532062144.0,0.0034,3.06e+02,0.00316,2.84e+02,12,0.02,0.02,0.1,0.0
74.0,15002.0,1840000,LinUCB_Disjoint,1532067837.0,0.00428,3.87e+02,0.00317,2.85e+02,12,0.02,0.02,0.1,0.0
74.0,15078.0,1850000,LinUCB_Disjoint,1532073235.0,0.0034,3.06e+02,0.00317,2.85e+02,12,0.02,0.02,0.1,0.0
