Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
124.0,31895.0,5780000.0,Regression,0.01,29168
124.0,31917.0,5790000.0,Regression,0.01,29168
124.0,31943.0,5800000.0,Regression,0.01,29168
124.0,31964.0,5810000.0,Regression,0.01,29168
124.0,31991.0,5820000.0,Regression,0.01,29168
124.0,32025.0,5830000.0,Regression,0.01,29168
125.0,32062.0,5840000.0,Regression,0.01,29168
125.0,32096.0,5850000.0,Regression,0.01,29168
126.0,32124.0,5860000.0,Regression,0.01,29168
126.0,32146.0,5870000.0,Regression,0.01,29168
126.0,32165.0,5880000.0,Regression,0.01,29168
127.0,32196.0,5890000.0,Regression,0.01,29168
128.0,32220.0,5900000.0,Regression,0.01,29168
128.0,32237.0,5910000.0,Regression,0.01,29168
128.0,32266.0,5920000.0,Regression,0.01,29168
128.0,32293.0,5930000.0,Regression,0.01,29168
129.0,32313.0,5940000.0,Regression,0.01,29168
130.0,32331.0,5950000.0,Regression,0.01,29168
130.0,32355.0,5960000.0,Regression,0.01,29168
132.0,32388.0,5970000.0,Regression,0.01,29168
132.0,32417.0,5980000.0,Regression,0.01,29168
132.0,32453.0,5990000.0,Regression,0.01,29168
132.0,32481.0,6000000.0,Regression,0.01,29168
132.0,32500.0,6010000.0,Regression,0.01,29168
132.0,32524.0,6020000.0,Regression,0.01,29168
132.0,32554.0,6030000.0,Regression,0.01,29168
132.0,32576.0,6040000.0,Regression,0.01,29168
132.0,32600.0,6050000.0,Regression,0.01,29168
132.0,32622.0,6060000.0,Regression,0.01,29168
132.0,32641.0,6070000.0,Regression,0.01,29168
132.0,32665.0,6080000.0,Regression,0.01,29168
132.0,32692.0,6090000.0,Regression,0.01,29168
132.0,32713.0,6100000.0,Regression,0.01,29168
132.0,32732.0,6110000.0,Regression,0.01,29168
132.0,32755.0,6120000.0,Regression,0.01,29168
133.0,32775.0,6130000.0,Regression,0.01,29168
133.0,32794.0,6140000.0,Regression,0.01,29168
133.0,32816.0,6150000.0,Regression,0.01,29168
133.0,32832.0,6160000.0,Regression,0.01,29168
133.0,32858.0,6170000.0,Regression,0.01,29168
133.0,32876.0,6180000.0,Regression,0.01,29168
133.0,32908.0,6190000.0,Regression,0.01,29168
134.0,32928.0,6200000.0,Regression,0.01,29168
134.0,32941.0,6210000.0,Regression,0.01,29168
134.0,32957.0,6220000.0,Regression,0.01,29168
135.0,32979.0,6230000.0,Regression,0.01,29168
135.0,33004.0,6240000.0,Regression,0.01,29168
135.0,33027.0,6250000.0,Regression,0.01,29168
135.0,33045.0,6260000.0,Regression,0.01,29168
135.0,33063.0,6270000.0,Regression,0.01,29168
135.0,33089.0,6280000.0,Regression,0.01,29168
135.0,33118.0,6290000.0,Regression,0.01,29168
135.0,33148.0,6300000.0,Regression,0.01,29168
135.0,33172.0,6310000.0,Regression,0.01,29168
136.0,33193.0,6320000.0,Regression,0.01,29168
136.0,33215.0,6330000.0,Regression,0.01,29168
137.0,33236.0,6340000.0,Regression,0.01,29168
137.0,33250.0,6350000.0,Regression,0.01,29168
138.0,33274.0,6360000.0,Regression,0.01,29168
138.0,33292.0,6370000.0,Regression,0.01,29168
138.0,33309.0,6380000.0,Regression,0.01,29168
138.0,33330.0,6390000.0,Regression,0.01,29168
138.0,33348.0,6400000.0,Regression,0.01,29168
138.0,33366.0,6410000.0,Regression,0.01,29168
138.0,33382.0,6420000.0,Regression,0.01,29168
138.0,33403.0,6430000.0,Regression,0.01,29168
138.0,33426.0,6440000.0,Regression,0.01,29168
139.0,33454.0,6450000.0,Regression,0.01,29168
139.0,33478.0,6460000.0,Regression,0.01,29168
139.0,33497.0,6470000.0,Regression,0.01,29168
139.0,33511.0,6480000.0,Regression,0.01,29168
139.0,33536.0,6490000.0,Regression,0.01,29168
140.0,33565.0,6500000.0,Regression,0.01,29168
140.0,33593.0,6510000.0,Regression,0.01,29168
140.0,33617.0,6520000.0,Regression,0.01,29168
141.0,33646.0,6530000.0,Regression,0.01,29168
141.0,33677.0,6540000.0,Regression,0.01,29168
142.0,33707.0,6550000.0,Regression,0.01,29168
142.0,33736.0,6560000.0,Regression,0.01,29168
142.0,33760.0,6570000.0,Regression,0.01,29168
142.0,33785.0,6580000.0,Regression,0.01,29168
142.0,33813.0,6590000.0,Regression,0.01,29168
143.0,33834.0,6600000.0,Regression,0.01,29168
143.0,33857.0,6610000.0,Regression,0.01,29168
143.0,33882.0,6620000.0,Regression,0.01,29168
143.0,33908.0,6630000.0,Regression,0.01,29168
143.0,33936.0,6640000.0,Regression,0.01,29168
143.0,33954.0,6650000.0,Regression,0.01,29168
143.0,33984.0,6660000.0,Regression,0.01,29168
144.0,34012.0,6670000.0,Regression,0.01,29168
144.0,34038.0,6680000.0,Regression,0.01,29168
144.0,34061.0,6690000.0,Regression,0.01,29168
144.0,34096.0,6700000.0,Regression,0.01,29168
144.0,34122.0,6710000.0,Regression,0.01,29168
144.0,34156.0,6720000.0,Regression,0.01,29168
144.0,34189.0,6730000.0,Regression,0.01,29168
145.0,34214.0,6740000.0,Regression,0.01,29168
145.0,34244.0,6750000.0,Regression,0.01,29168
145.0,34269.0,6760000.0,Regression,0.01,29168
145.0,34296.0,6770000.0,Regression,0.01,29168
146.0,34322.0,6780000.0,Regression,0.01,29168
146.0,34349.0,6790000.0,Regression,0.01,29168
147.0,34374.0,6800000.0,Regression,0.01,29168
147.0,34404.0,6810000.0,Regression,0.01,29168
147.0,34444.0,6820000.0,Regression,0.01,29168
147.0,34467.0,6830000.0,Regression,0.01,29168
147.0,34495.0,6840000.0,Regression,0.01,29168
148.0,34521.0,6850000.0,Regression,0.01,29168
149.0,34547.0,6860000.0,Regression,0.01,29168
149.0,34564.0,6870000.0,Regression,0.01,29168
149.0,34588.0,6880000.0,Regression,0.01,29168
149.0,34627.0,6890000.0,Regression,0.01,29168
150.0,34649.0,6900000.0,Regression,0.01,29168
150.0,34677.0,6910000.0,Regression,0.01,29168
150.0,34701.0,6920000.0,Regression,0.01,29168
150.0,34732.0,6930000.0,Regression,0.01,29168
150.0,34764.0,6940000.0,Regression,0.01,29168
151.0,34778.0,6950000.0,Regression,0.01,29168
151.0,34822.0,6960000.0,Regression,0.01,29168
152.0,34848.0,6970000.0,Regression,0.01,29168
