Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
107.0,39928.0,2720000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504565.0,0.01
107.0,40095.0,2730000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504659.0,0.01
108.0,40252.0,2740000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504756.0,0.01
109.0,40397.0,2750000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504851.0,0.01
110.0,40545.0,2760000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529504947.0,0.01
110.0,40694.0,2770000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505043.0,0.01
110.0,40826.0,2780000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505140.0,0.01
110.0,40953.0,2790000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505239.0,0.01
110.0,41089.0,2800000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505335.0,0.01
110.0,41210.0,2810000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505433.0,0.01
110.0,41346.0,2820000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505528.0,0.01
112.0,41481.0,2830000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505625.0,0.01
114.0,41605.0,2840000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505722.0,0.01
114.0,41763.0,2850000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505822.0,0.01
114.0,41889.0,2860000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529505920.0,0.01
114.0,42024.0,2870000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506017.0,0.01
115.0,42166.0,2880000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506114.0,0.01
115.0,42280.0,2890000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506212.0,0.01
115.0,42391.0,2900000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506309.0,0.01
118.0,42514.0,2910000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506410.0,0.01
119.0,42642.0,2920000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506511.0,0.01
121.0,42762.0,2930000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506613.0,0.01
122.0,42899.0,2940000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506718.0,0.01
122.0,43041.0,2950000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506822.0,0.01
123.0,43167.0,2960000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529506931.0,0.01
123.0,43298.0,2970000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507047.0,0.01
123.0,43422.0,2980000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507163.0,0.01
123.0,43547.0,2990000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507278.0,0.01
123.0,43691.0,3000000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507390.0,0.01
123.0,43814.0,3010000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507502.0,0.01
123.0,43933.0,3020000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507616.0,0.01
123.0,44067.0,3030000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507723.0,0.01
124.0,44183.0,3040000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507833.0,0.01
124.0,44303.0,3050000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529507944.0,0.01
