Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Local,3176462,1534283997000,0,200775,103073,72975,71310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,3176462,1534283997000,-56964,200775,103073,72975,71310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,3361164,1534305600000,0,200775,103073,72975,71310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,3361164,1534305600000,-56964,200775,103073,72975,71310,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,4267029,1534327200000,0,133094,79359,50720,38671,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,4267029,1534327200000,-56964,133094,79359,50720,38671,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,5314011,1534348800000,0,84025,64398,19190,13136,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,5314011,1534348800000,-56964,84025,64398,19190,13136,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,5726250,1534363199000,0,49283,58321,7694,2056,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,5726250,1534363199000,-56964,49283,58321,7694,2056,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,5979990,1534384801000,0,49283,58321,7694,2056,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,5979990,1534384801000,-56964,49283,58321,7694,2056,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,6734652,1534406401000,0,0,0,1515,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,6734652,1534406401000,-56964,-3608,-6034,1515,-1141,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,7863533,1534428001000,-56964,-84500,-53854,-14157,-7822,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Global,8560378,1534449599000,-56964,-131212,-84135,-29023,-14368,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,False,0.0,0.0
Local,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,919597,1534230000000,28070,53664,11890,16396,36378,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,919597,1534230000000,106794,273754,102053,88490,123401,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,1287930,1534237114000,14411,21755,528,0,25590,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,1287930,1534237114000,93135,241845,90691,72094,112613,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,1306773,1534237473000,13216,20454,0,0,25238,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,1306773,1534237473000,91940,240544,90163,70971,112261,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
