Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha
Total,8560378,1534449599000,-202219,-120246,-74791,-56351,-85829,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.8,DAILY,2
Daily,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,919597,1534230000000,35525,96473,39592,33989,40398,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,919597,1534230000000,106577,289420,118776,101967,121195,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,2159970,1534251600000,0,82991,38188,30458,31669,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,2159970,1534251600000,-24262,248975,114566,91374,95008,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,2912107,1534273200000,0,62025,32652,24144,28013,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,2912107,1534273200000,-24262,186077,97956,72432,84040,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,3176462,1534283997000,0,57118,31548,23344,25111,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,3176462,1534283997000,-24262,171356,94645,70033,75334,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,3361164,1534305600000,0,85678,47322,35016,37667,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,3361164,1534305600000,-24262,171356,94645,70033,75334,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,4267029,1534327200000,0,39437,35132,25917,23054,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,4267029,1534327200000,-24262,78874,70265,51835,46108,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,5314011,1534348800000,0,39437,23302,3821,10911,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,5314011,1534348800000,-24262,78874,46604,7642,21822,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,5726250,1534363199000,0,0,18501,3821,10911,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Total,5726250,1534363199000,-24262,-2783,37003,7642,21822,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
Daily,5979990,1534384801000,0,0,37003,7642,21822,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,2
